,Region,State,Area,City,Consumer_profile,Product_category,Product_type,AC_1001_Issue,AC_1002_Issue,AC_1003_Issue,TV_2001_Issue,TV_2002_Issue,TV_2003_Issue,Claim_Value,Service_Centre,Product_Age,Purchased_from,Call_details,Purpose
0,South,Karnataka,Urban,Bangalore,Business,Entertainment,TV,0,0,0,1,2,0,15000,10,60,Manufacturer,0.5,Complaint
1,South,Karnataka,Rural,Bangalore,Business,Household,AC,1,1,0,0,0,0,20000,12,10,Dealer,1,Complaint
2,North,Haryana,Urban,Chandigarh,Personal,Household,AC,0,1,2,0,0,0,18000,14,10,Dealer,1.4,Claim
3,South,Tamil Nadu,Urban,Chennai,Business,Entertainment,TV,0,0,0,1,1,0,12000,16,20,Manufacturer,2,Complaint
4,North East,Jharkhand,Rural,Ranchi,Personal,Entertainment,TV,0,0,0,0,1,2,25000,15,6,Dealer,1.3,Claim
5,North West,Kerala,Urban,Kochi,Personal,Entertainment,TV,0,0,0,2,1,0,12000,14,3,Internet,1.4,Complaint
6,South East,Tamil Nadu,Urban,Chennai,Business,Entertainment,TV,0,0,0,1,1,1,15000,12,4,Manufacturer,1.6,Complaint
7,South West,Andhra Pradesh,Urban,Hyderabad,Business,Entertainment,TV,0,0,0,1,1,1,10000,13,5,Dealer,2.6,Claim
8,South,Karnataka,Urban,Bangalore,Business,Household,AC,0,0,1,0,0,0,50000,10,18,Manufacturer,2.4,Claim
9,West,Karnataka,Rural,Bangalore,Business,Entertainment,TV,0,0,0,1,1,1,20000,12,7,Manufacturer,6.5,Claim
10,East,Bihar,Rural,Patna,Personal,Household,AC,0,0,2,0,0,0,25000,13,4,Dealer,0.5,Complaint
11,North,Bihar,Rural,Purnea,Personal,Household,AC,1,1,0,0,0,0,12000,15,21,Internet,1,Complaint
12,North East,Gujarat,Rural,Vadodara,Personal,Household,AC,1,1,0,0,0,0,15000,15,16,Manufacturer,1.5,Claim
13,North West,Karnataka,Urban,Bangalore,Personal,Entertainment,TV,0,0,0,1,1,1,10000,14,9,Dealer,2.5,Complaint
14,South East,Tamil Nadu,Rural,Chennai,Business,Entertainment,TV,0,0,0,1,1,1,50000,12,19,Manufacturer,1.3,Claim
15,South West,Andhra Pradesh,Urban,Hyderabad,Business,Entertainment,TV,0,0,0,1,1,1,20000,13,14,Manufacturer,1.4,Claim
16,South,Delhi,Urban,New Delhi,Business,Entertainment,TV,0,0,0,0,0,0,25000,10,18,Dealer,1,Complaint
17,West,Andhra Pradesh,Urban,Hyderabad,Business,Household,AC,0,1,0,0,0,0,12000,12,60,Internet,2.6,Complaint
18,East,Gujarat,Rural,Vadodara,Personal,Entertainment,TV,0,0,0,2,2,2,15000,13,10,Manufacturer,2.4,Claim
19,North,Andhra Pradesh,Rural,Hyderabad,Personal,Household,AC,2,1,2,0,0,0,10000,15,12,Dealer,6.5,Claim
20,North East,Karnataka,Urban,Bangalore,Personal,Household,AC,0,0,0,0,0,0,50000,15,15,Manufacturer,0.5,Claim
21,North West,Kerala,Rural,Kochi,Personal,Household,AC,1,1,1,0,0,0,20000,14,6,Manufacturer,1,Claim
22,South East,Delhi,Urban,New Delhi,Business,Entertainment,TV,0,0,0,1,1,1,25000,12,3,Dealer,1.5,Complaint
23,South West,Tamil Nadu,Rural,Chennai,Business,Entertainment,TV,0,0,0,1,1,1,21000,13,4,Internet,2.5,Complaint
24,South,Delhi,Rural,New Delhi,Business,Entertainment,TV,0,0,0,0,0,0,15000,10,5,Manufacturer,1.3,Complaint
25,West,Kerala,Rural,Kochi,Business,Entertainment,TV,0,0,0,1,1,1,10000,12,18,Dealer,1.4,Claim
26,East,Karnataka,Urban,Bangalore,Personal,Household,AC,0,2,1,0,0,0,13000,13,7,Manufacturer,1.6,Claim
27,North,Andhra Pradesh,Rural,Hyderabad,Personal,Entertainment,TV,0,0,0,0,0,0,20000,15,4,Manufacturer,2.6,Claim
28,North East,Delhi,Urban,New Delhi,Personal,Household,AC,2,1,0,0,0,0,25000,15,21,Dealer,2.4,Complaint
29,North West,Delhi,Urban,New Delhi,Personal,Household,AC,2,0,0,0,0,0,12000,14,16,Internet,6.5,Complaint
30,South East,Kerala,Urban,Kochi,Business,Household,AC,2,2,0,0,0,0,15000,12,9,Dealer,0.5,Complaint
31,South West,Andhra Pradesh,Urban,Hyderabad,Business,Entertainment,TV,0,0,0,0,2,0,10000,13,19,Dealer,1,Claim
32,South,Bihar,Urban,Purnea,Business,Entertainment,TV,0,0,0,0,1,0,40000,10,14,Manufacturer,1.5,Claim
33,West,Maharashtra,Rural,Mumbai,Business,Entertainment,TV,0,0,0,0,2,0,20000,12,18,Dealer,2.5,Claim
34,East,Delhi,Urban,New Delhi,Personal,Entertainment,TV,0,0,0,1,1,1,25000,13,60,Dealer,1.3,Complaint
35,North,Bihar,Urban,Purnea,Personal,Household,AC,0,1,1,0,0,0,12000,15,10,Internet,1.4,Complaint
36,North East,Gujarat,Rural,Ahmedabad,Personal,Entertainment,TV,0,0,0,1,1,1,15000,15,12,Manufacturer,1.6,Complaint
37,North West,Gujarat,Urban,Vadodara,Personal,Household,AC,0,1,1,0,0,0,10000,14,15,Dealer,2.6,Claim
38,South East,Maharashtra,Urban,Mumbai,Business,Household,AC,0,0,1,0,0,0,50000,12,6,Dealer,2.4,Claim
39,South West,Kerala,Rural,Kochi,Business,Household,AC,0,2,0,0,0,0,20000,13,3,Manufacturer,6.5,Claim
40,South,Andhra Pradesh,Rural,Hyderabad,Business,Entertainment,TV,0,0,0,0,0,0,25000,10,4,Dealer,0.5,Complaint
41,West,Bihar,Urban,Purnea,Business,Entertainment,TV,0,0,0,0,0,0,12000,12,5,Internet,1,Complaint
42,East,Maharashtra,Urban,Mumbai,Personal,Entertainment,TV,0,0,0,0,0,0,15000,13,18,Dealer,1.5,Complaint
43,North,Andhra Pradesh,Urban,Hyderabad,Personal,Entertainment,TV,0,0,0,0,0,0,10000,15,7,Dealer,2.5,Claim
44,North East,Bihar,Urban,Patna,Personal,Household,AC,0,0,0,0,0,0,50000,15,4,Manufacturer,1.3,Claim
45,North West,Maharashtra,Urban,Mumbai,Personal,Entertainment,TV,0,0,0,0,2,0,20000,14,21,Dealer,1.4,Claim
46,South East,Kerala,Rural,Kochi,Business,Household,AC,0,0,0,0,0,0,25000,12,16,Dealer,1.6,Complaint
47,South West,Maharashtra,Urban,Mumbai,Business,Household,AC,0,0,0,0,0,0,12000,13,9,Internet,2.6,Complaint
48,South,Kerala,Rural,Kochi,Business,Household,AC,0,0,0,0,0,0,15000,10,19,Manufacturer,2.4,Other
49,West,Gujarat,Rural,Ahmedabad,Business,Entertainment,TV,0,0,0,0,0,2,10000,12,14,Dealer,6.5,Other
50,East,Andhra Pradesh,Urban,Hyderabad,Personal,Entertainment,TV,0,0,0,0,1,2,50000,13,18,Manufacturer,0.5,Claim
51,North,Maharashtra,Rural,Pune,Personal,Entertainment,TV,0,0,0,0,0,1,20000,15,60,Dealer,1,Claim
52,North East,Tamil Nadu,Urban,Chennai,Personal,Entertainment,TV,0,0,0,1,0,2,25000,15,10,Dealer,1.5,Complaint
53,North West,Gujarat,Urban,Vadodara,Personal,Household,AC,0,0,1,0,0,0,12000,14,12,Internet,2.5,Claim
54,South East,Kerala,Rural,Kochi,Business,Entertainment,TV,0,0,0,1,0,2,15000,12,15,Dealer,1.3,Complaint
55,South West,Andhra Pradesh,Urban,Hyderabad,Business,Household,AC,1,0,0,0,0,0,10000,13,6,Dealer,1.4,Complaint
56,South,Tamil Nadu,Urban,Chennai,Business,Household,AC,0,0,0,0,0,0,50000,10,3,Manufacturer,1.6,Claim
57,West,Gujarat,Urban,Vadodara,Business,Household,AC,0,0,0,0,0,0,20000,12,4,Dealer,2.6,Claim
58,South,Karnataka,Urban,Bangalore,Business,Entertainment,TV,0,0,0,1,2,0,15000,10,60,Manufacturer,0.5,Complaint
66,South,Karnataka,Urban,Bangalore,Business,Household,AC,0,0,1,0,0,0,50000,10,18,Manufacturer,2.4,Claim
67,West,Karnataka,Rural,Bangalore,Business,Entertainment,TV,0,0,0,1,1,1,20000,12,7,Manufacturer,6.5,Claim
70,North East,Gujarat,Rural,Vadodara,Personal,Household,AC,1,1,0,0,0,0,15000,15,16,Manufacturer,1.5,Complaint
72,South East,Tamil Nadu,Rural,Chennai,Business,Entertainment,TV,0,0,0,1,1,1,50000,12,19,Manufacturer,1.3,Claim
73,South West,Andhra Pradesh,Urban,Hyderabad,Business,Entertainment,TV,0,0,0,1,1,1,20000,13,14,Manufacturer,1.4,Claim
76,East,Gujarat,Rural,Vadodara,Personal,Entertainment,TV,0,0,0,2,2,2,15000,13,10,Manufacturer,2.4,Complaint
77,North,Andhra Pradesh,Rural,Hyderabad,Personal,Household,AC,1,1,2,0,0,0,10000,15,12,Dealer,6.5,Claim
79,North West,Kerala,Rural,Kochi,Personal,Household,AC,0,1,1,0,0,0,20000,14,6,Manufacturer,1,Claim
81,South West,Tamil Nadu,Rural,Chennai,Business,Entertainment,TV,0,0,0,1,2,1,21000,13,4,Internet,2.5,Complaint
84,East,Karnataka,Urban,Bangalore,Personal,Household,AC,0,1,1,0,0,0,13000,13,7,Manufacturer,1.6,Claim
85,North,Andhra Pradesh,Rural,Hyderabad,Personal,Entertainment,TV,0,0,0,0,0,0,20000,15,4,Manufacturer,2.6,Claim
